Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,95.37,95.59,93.72,94.81,6378700,91.01,0.0,91.01,91.01
2016-01-05,2016,1,5,Tuesday,01,2016-01,95.38,95.83,94.41,94.99,4352500,91.18,0.0018986168130532555,91.095,91.095
2016-01-06,2016,1,6,Wednesday,01,2016-01,93.49,94.39,92.98,93.35,4370000,89.79,-0.015295617258394345,90.66000000000001,90.66000000000001
2016-01-07,2016,1,7,Thursday,01,2016-01,91.56,92.37,90.68,91.64,6600000,88.14,-0.01831817723353535,90.03,90.03
2016-01-08,2016,1,8,Friday,01,2016-01,91.97,92.24,89.72,89.89,5912100,86.46,-0.019096246491480784,89.316,89.316
2016-01-11,2016,1,11,Monday,02,2016-02,90.25,91.1,89.29,90.58,5845600,87.12,0.007675912806303975,88.95,88.95
2016-01-12,2016,1,12,Tuesday,02,2016-02,91.61,91.87,90.12,91.44,4441800,87.95,0.009494436577172527,88.80714285714285,88.80714285714285
2016-01-13,2016,1,13,Wednesday,02,2016-02,92.07,92.15,88.75,89.19,4895000,85.79,-0.024606212892224533,88.43,88.43
2016-01-14,2016,1,14,Thursday,02,2016-02,89.4,91.69,89.16,90.71,6235800,87.25,0.017042382728341243,88.2988888888889,88.2988888888889
2016-01-15,2016,1,15,Friday,02,2016-02,88.09,89.28,87.82,88.71,6459800,85.32,-0.02204865093215458,88.001,88.001
2016-01-19,2016,1,19,Tuesday,03,2016-03,89.56,89.74,85.49,86.22,10175200,82.93,-0.028068678254678847,87.54,87.54
2016-01-20,2016,1,20,Wednesday,03,2016-03,84.71,85.96,83.52,85.13,11672100,81.88,-0.012642252596470116,87.06833333333333,87.06833333333333
2016-01-21,2016,1,21,Thursday,03,2016-03,85.23,87.53,84.56,86.12,5989700,82.83,0.011629161618017525,86.7423076923077,86.7423076923077
2016-01-22,2016,1,22,Friday,03,2016-03,87.73,88.83,87.4,88.0,4912500,84.64,0.02183005311479147,86.59214285714286,86.59214285714286
2016-01-25,2016,1,25,Monday,04,2016-04,88.03,88.19,86.65,86.77,5110500,83.46,-0.013977478580656788,86.05285714285715,86.38333333333334
2016-01-26,2016,1,26,Tuesday,04,2016-04,87.0,87.5,86.4,87.0,4872500,83.68,0.0026509750348158168,85.51714285714286,86.214375
2016-01-27,2016,1,27,Wednesday,04,2016-04,86.89,87.05,84.34,84.81,6750900,81.57,-0.025172426714714313,84.92999999999999,85.94117647058823
2016-01-28,2016,1,28,Thursday,04,2016-04,85.34,85.65,83.35,83.43,9169600,80.25,-0.016271847609527268,84.36642857142856,85.625
2016-01-29,2016,1,29,Friday,04,2016-04,81.45,89.25,81.0,89.03,16410500,85.63,0.06712226983934566,84.30714285714286,85.62526315789474
2016-02-01,2016,2,1,Monday,05,2016-05,88.52,89.2,87.23,88.63,5956400,85.25,-0.004492818546688482,84.17357142857144,85.60650000000001
2016-02-02,2016,2,2,Tuesday,05,2016-05,87.68,87.74,85.37,85.93,7096900,82.65,-0.030463279809298527,83.79499999999999,85.46571428571428
