Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,54.32,54.8,53.39,54.8,53778000,49.37,0.0,49.37,49.37
2016-01-05,2016,1,5,Tuesday,01,2016-01,54.93,55.39,54.54,55.05,34079700,49.6,0.004561992757799782,49.485,49.485
2016-01-06,2016,1,6,Wednesday,01,2016-01,54.32,54.4,53.64,54.05,39518900,48.7,-0.018165255789191814,49.223333333333336,49.223333333333336
2016-01-07,2016,1,7,Thursday,01,2016-01,52.7,53.49,52.07,52.17,56564900,47.0,-0.03478253921701335,48.667500000000004,48.667500000000004
2016-01-08,2016,1,8,Friday,01,2016-01,52.37,53.28,52.15,52.33,48754000,47.15,0.00306674529117279,48.364,48.364
2016-01-11,2016,1,11,Monday,02,2016-02,52.51,52.85,51.46,52.3,36943800,47.12,-0.0005731555741969041,48.156666666666666,48.156666666666666
2016-01-12,2016,1,12,Tuesday,02,2016-02,52.76,53.1,52.06,52.78,36095500,47.55,0.009177691235227048,48.07,48.07
2016-01-13,2016,1,13,Wednesday,02,2016-02,53.8,54.07,51.3,51.64,66883600,46.53,-0.021599030317032142,47.8775,47.8775
2016-01-14,2016,1,14,Thursday,02,2016-02,52.0,53.42,51.57,53.11,52381900,47.85,0.02846627581707084,47.87444444444444,47.87444444444444
2016-01-15,2016,1,15,Friday,02,2016-02,51.31,51.97,50.34,50.99,71820700,45.94,-0.039917180277349806,47.681,47.681
2016-01-19,2016,1,19,Tuesday,03,2016-03,51.48,51.68,50.06,50.56,43564500,45.55,-0.00843308846950086,47.48727272727273,47.48727272727273
2016-01-20,2016,1,20,Wednesday,03,2016-03,49.98,51.38,49.1,50.79,63273000,45.76,0.004549057307671189,47.343333333333334,47.343333333333334
2016-01-21,2016,1,21,Thursday,03,2016-03,51.0,51.58,50.3,50.48,40191200,45.48,-0.006103576233182029,47.2,47.2
2016-01-22,2016,1,22,Friday,03,2016-03,51.41,52.33,51.26,52.29,37555800,47.11,0.035855804473818864,47.19357142857143,47.19357142857143
2016-01-25,2016,1,25,Monday,04,2016-04,51.94,52.65,51.65,51.79,34707700,46.66,-0.009561951962227644,47.0,47.158
2016-01-26,2016,1,26,Tuesday,04,2016-04,51.79,52.44,51.55,52.17,28900800,47.0,0.007337411889661416,46.81428571428571,47.148125
2016-01-27,2016,1,27,Wednesday,04,2016-04,52.01,52.2,51.02,51.22,36775200,46.15,-0.018209753756292302,46.63214285714286,47.08941176470588
2016-01-28,2016,1,28,Thursday,04,2016-04,51.86,52.21,51.25,52.06,62513800,46.91,0.016399861789397452,46.62571428571429,47.07944444444444
2016-01-29,2016,1,29,Friday,04,2016-04,54.73,55.09,54.0,55.09,83611700,49.64,0.05820202983487888,46.80357142857142,47.21421052631579
2016-02-01,2016,2,1,Monday,05,2016-05,54.88,55.09,54.5,54.71,44208500,49.29,-0.006897886350267113,46.958571428571425,47.318
2016-02-02,2016,2,2,Tuesday,05,2016-05,54.17,54.26,52.65,53.0,56313800,47.75,-0.03125554780807893,46.972857142857144,47.33857142857143
2016-02-03,2016,2,3,Wednesday,05,2016-05,53.25,53.39,51.26,52.16,57559800,47.0,-0.015849152888589124,47.00642857142857,47.323181818181816
2016-02-04,2016,2,4,Thursday,05,2016-05,52.1,52.81,51.37,52.0,46987100,46.85,-0.003067414695164028,46.934999999999995,47.302608695652175
2016-02-05,2016,2,5,Friday,05,2016-05,51.94,52.0,49.56,50.16,62009000,45.19,-0.03538457930844463,46.88142857142857,47.21458333333334
2016-02-08,2016,2,8,Monday,06,2016-06,49.55,49.57,48.19,49.41,59290500,44.52,-0.014952322179823785,46.80785714285714,47.1068
2016-02-09,2016,2,9,Tuesday,06,2016-06,49.02,50.24,48.67,49.28,46740500,44.4,-0.002631195372126194,46.71071428571428,47.00269230769231
2016-02-10,2016,2,10,Wednesday,06,2016-06,49.89,50.39,49.52,49.71,38237000,44.79,0.008725715304432669,46.66142857142857,46.92074074074074
2016-02-11,2016,2,11,Thursday,06,2016-06,48.68,50.11,48.51,49.69,48878600,44.77,-0.0004024415297173567,46.49428571428571,46.84392857142857
2016-02-12,2016,2,12,Friday,06,2016-06,50.25,50.68,49.75,50.5,34243300,45.5,0.01630131139693547,46.41142857142857,46.79758620689655
2016-02-16,2016,2,16,Tuesday,07,2016-07,50.9,51.09,50.13,51.09,37291200,46.36,0.018946922743173777,46.36571428571428,46.783
2016-02-17,2016,2,17,Wednesday,07,2016-07,51.49,52.77,51.45,52.42,40789000,47.57,0.026032440434633486,46.46714285714285,46.80838709677419
2016-02-18,2016,2,18,Thursday,07,2016-07,52.33,52.95,52.1,52.19,27176000,47.36,-0.00438780233453695,46.49928571428571,46.825625
2016-02-19,2016,2,19,Friday,07,2016-07,51.97,52.28,51.53,51.82,33559100,47.02,-0.007088878437442325,46.31214285714286,46.831515151515156
2016-02-22,2016,2,22,Monday,08,2016-08,52.28,53.0,52.28,52.65,25008300,47.78,0.01601645548918662,46.20428571428572,46.85941176470588
2016-02-23,2016,2,23,Tuesday,08,2016-08,52.34,52.37,50.98,51.18,28895300,46.44,-0.027919978972427484,46.11071428571428,46.84742857142857
2016-02-24,2016,2,24,Wednesday,08,2016-08,50.69,51.5,50.2,51.36,33014500,46.61,0.00351692969031836,46.082857142857144,46.840833333333336
2016-02-25,2016,2,25,Thursday,08,2016-08,51.73,52.1,50.61,52.1,26939500,47.28,0.014407935672038796,46.113571428571426,46.8527027027027
2016-02-26,2016,2,26,Friday,08,2016-08,52.6,52.68,51.1,51.3,35975900,46.55,-0.015355092876825127,46.21071428571429,46.84473684210526
2016-02-29,2016,2,29,Monday,09,2016-09,51.35,51.65,50.66,50.88,31654000,46.17,-0.008187002816517741,46.32857142857143,46.8274358974359
2016-03-01,2016,3,1,Tuesday,09,2016-09,50.97,52.59,50.92,52.58,33024500,47.71,0.033411691105136976,46.565000000000005,46.8495
